Date,Machine_ID,Assembly_Line_No,Coolant_Temperature,Hydraulic_Oil_Temperature,Spindle_Bearing_Temperature,Spindle_Vibration,Tool_Vibration,Voltage,Torque,Hydraulic_Pressure,Coolant_Pressure,Air_System_Pressure,Cutting,Spindle_Speed,Downtime
2022-04-05,Makino-L2-Unit1-2015,Shopfloor-L2,25.6,39.6,34.4,1.064,29.041,386.0,15.1197393,5577000.0,471167.2,695912.7,3910.0,341.7,Machine_Failure
2022-02-18,Makino-L3-Unit1-2015,Shopfloor-L3,29.9,46.5,35.2,1.014,15.572,307.0,33.92336502,12204912.4,610371.0,703061.4,1880.0,401.8,No_Machine_Failure
2022-04-07,Makino-L1-Unit1-2013,Shopfloor-L1,20.3,43.7,37.3,0.738,27.525,315.0,23.69828742,11304089.1,314099.5,590110.0,2940.0,295.4,No_Machine_Failure
2022-03-20,Makino-L2-Unit1-2015,Shopfloor-L2,7.4,43.7,30.2,1.498,32.603,343.0,31.94392774,9533000.0,378809.3,614897.4,2190.0,460.2,Machine_Failure
2022-03-15,Makino-L2-Unit1-2015,Shopfloor-L2,10.1,41.5,29.6,0.24,24.066,368.0,30.2881614,5860000.0,696063.6,652090.7,3590.0,262.7,Machine_Failure
2022-01-21,Makino-L1-Unit1-2013,Shopfloor-L1,24.4,47.5,38.6,0.522,38.815,362.0,16.44955444,14598000.0,478527.3,679254.0,3490.0,321.5,Machine_Failure
2022-03-12,Makino-L2-Unit1-2015,Shopfloor-L2,4.5,46.0,37.1,0.792,30.278,407.0,22.39326422,9285574.0,530364.3,624363.8,1850.0,270.0,No_Machine_Failure
2022-03-15,Makino-L3-Unit1-2015,Shopfloor-L3,23.8,46.4,35.2,0.586,21.356,399.0,21.49775301,11184323.6,389503.1,753263.6,2770.0,237.8,No_Machine_Failure
2022-02-22,Makino-L1-Unit1-2013,Shopfloor-L1,6.2,46.2,35.5,1.099,27.909,345.0,14.20288973,13402000.0,689318.2,615077.7,2850.0,425.5,Machine_Failure
2022-04-03,Makino-L3-Unit1-2015,Shopfloor-L3,20.6,45.1,32.4,0.61,30.447,359.0,25.07495142,6711000.0,471267.4,660147.8,3580.0,365.8,Machine_Failure
