,Date,Machine_ID,Assembly_Line_No,Coolant_Temperature,Hydraulic_Oil_Temperature,Spindle_Bearing_Temperature,Spindle_Vibration,Tool_Vibration,Voltage,Torque,Downtime,Hydraulic_Pressure,Coolant_Pressure,Air_System_Pressure,Cutting,Spindle_Speed
0,2021-12-08,Makino-L2-Unit1-2015,Shopfloor-L2,4.5,47.9,31.2,1.225,35.214,381.0,23.09190287,No_Machine_Failure,14115919.3,513860.1,612765.0,2870.0,253.6
1,2021-12-17,Makino-L2-Unit1-2015,Shopfloor-L2,21.7,47.5,35.8,1.078,29.198,367.0,31.62033518,No_Machine_Failure,7246602.0,514111.3,662932.2,2970.0,295.4
2,2021-12-17,Makino-L1-Unit1-2013,Shopfloor-L1,5.2,49.4,34.2,1.266,30.206,340.0,15.90071615,Machine_Failure,8828000.0,683941.3,656038.1,2700.0,466.0
3,2021-12-17,Makino-L1-Unit1-2013,Shopfloor-L1,24.4,48.1,36.6,0.778,25.048,307.0,23.92392884,Machine_Failure,7454000.0,658019.5,652883.7,3590.0,466.0
4,2021-12-21,Makino-L2-Unit1-2015,Shopfloor-L2,14.1,51.8,32.4,0.969,31.491,380.0,16.96410507,Machine_Failure,5326000.0,683941.3,602069.0,2860.0,460.2
5,2021-12-21,Makino-L2-Unit1-2015,Shopfloor-L2,21.8,51.6,39.0,0.889,31.985,383.0,15.1197393,Machine_Failure,8825000.0,456685.4,638305.3,2830.0,442.1
6,2021-12-22,Makino-L2-Unit1-2015,Shopfloor-L2,6.8,49.5,35.4,1.09,22.389,317.0,23.06958539,No_Machine_Failure,12175897.2,514464.6,616494.2,2770.0,344.9
7,2021-12-24,Makino-L1-Unit1-2013,Shopfloor-L1,9.9,44.4,32.2,0.436,18.025,359.0,23.04174912,No_Machine_Failure,11768463.4,515050.5,658569.3,1950.0,253.6
8,2021-12-24,Makino-L1-Unit1-2013,Shopfloor-L1,21.7,45.5,30.3,0.666,30.961,363.0,23.06847065,No_Machine_Failure,11414536.8,514550.8,663701.6,2890.0,344.9
9,2021-12-26,Makino-L1-Unit1-2013,Shopfloor-L1,11.9,49.5,40.5,1.147,32.166,359.0,23.05732915,No_Machine_Failure,11577609.3,316480.5,615603.6,2170.0,345.1
10,2021-12-27,Makino-L1-Unit1-2013,Shopfloor-L1,23.7,51.7,29.4,0.671,28.273,366.0,23.88921137,Machine_Failure,7669000.0,683941.3,604627.7,3550.0,390.5
11,2021-12-27,Makino-L3-Unit1-2015,Shopfloor-L3,5.3,41.9,40.5,0.631,34.677,335.0,23.89040685,Machine_Failure,8816000.0,686394.4,661541.3,2850.0,442.1
12,2021-12-27,Makino-L1-Unit1-2013,Shopfloor-L1,23.4,50.1,35.2,0.874,31.876,378.0,23.9023682,Machine_Failure,8364000.0,486086.2,614601.1,2580.0,460.2
13,2021-12-28,Makino-L3-Unit1-2015,Shopfloor-L3,21.7,52.3,32.4,1.288,31.434,359.0,34.97300419,No_Machine_Failure,14772971.3,389503.1,665220.1,2900.0,344.5
14,2021-12-28,Makino-L2-Unit1-2015,Shopfloor-L2,25.8,49.0,35.0,0.671,19.791,266.0,24.19552988,Machine_Failure,7363000.0,489838.1,657594.8,2580.0,365.8
15,2021-12-28,Makino-L1-Unit1-2013,Shopfloor-L1,21.6,40.5,31.4,1.075,28.592,340.0,23.14788596,No_Machine_Failure,11243066.4,512873.6,654262.9,1890.0,343.7
16,2021-12-28,Makino-L1-Unit1-2013,Shopfloor-L1,33.6,51.4,38.7,1.212,29.513,358.0,24.15390842,Machine_Failure,5818000.0,490575.5,639306.2,2780.0,341.7
17,2021-12-29,Makino-L3-Unit1-2015,Shopfloor-L3,9.9,52.5,36.1,1.045,29.013,359.0,23.13891043,No_Machine_Failure,13943402.5,316480.5,592864.3,1880.0,221.2
18,2021-12-29,Makino-L3-Unit1-2015,Shopfloor-L3,8.7,52.5,36.1,1.045,29.013,359.0,23.3585478,No_Machine_Failure,13943402.5,310598.2,592864.3,2720.0,320.0
19,2021-12-30,Makino-L1-Unit1-2013,Shopfloor-L1,29.8,44.9,33.8,0.555,26.314,423.0,16.96410507,Machine_Failure,5730000.0,491631.3,579224.3,2750.0,329.7
20,2021-12-30,Makino-L3-Unit1-2015,Shopfloor-L3,21.6,45.5,30.5,1.657,21.132,390.0,23.13778898,No_Machine_Failure,10357614.7,513032.2,703928.7,2920.0,235.9
21,2021-12-31,Makino-L1-Unit1-2013,Shopfloor-L1,25.6,46.0,33.4,1.291,26.492,335.0,24.05532601,Machine_Failure,7104000.0,693372.5,628496.5,3580.0,431.5
22,2021-12-31,Makino-L1-Unit1-2013,Shopfloor-L1,35.3,47.4,34.6,1.382,25.274,368.0,14.20288973,Machine_Failure,12533000.0,493689.2,619673.3,2680.0,330.9
23,2021-12-31,Makino-L3-Unit1-2015,Shopfloor-L3,13.1,40.7,33.0,1.319,30.608,325.0,24.04926704,Machine_Failure,7112000.0,683941.3,665544.8,3550.0,330.8
24,2022-01-03,Makino-L1-Unit1-2013,Shopfloor-L1,24.4,48.6,39.2,0.822,27.063,431.0,24.03836858,Machine_Failure,6494000.0,689318.2,668455.0,3580.0,331.0
25,2022-01-05,Makino-L3-Unit1-2015,Shopfloor-L3,11.9,51.2,38.4,1.04,25.382,319.0,23.11762142,No_Machine_Failure,9948837.0,513213.8,694548.4,2170.0,344.2
26,2022-01-06,Makino-L2-Unit1-2015,Shopfloor-L2,21.7,50.2,33.9,0.829,15.968,362.0,31.62033518,No_Machine_Failure,13324578.3,513710.2,653309.3,2770.0,221.2
27,2022-01-06,Makino-L3-Unit1-2015,Shopfloor-L3,30.3,53.4,34.3,0.98,16.835,309.0,16.44955444,Machine_Failure,8027000.0,689318.2,620456.7,3930.0,466.0
28,2022-01-06,Makino-L2-Unit1-2015,Shopfloor-L2,25.6,48.8,39.7,0.483,26.867,269.0,14.20288973,Machine_Failure,9870000.0,491649.9,735699.3,3690.0,442.1
29,2022-01-06,Makino-L2-Unit1-2015,Shopfloor-L2,4.2,50.1,38.8,0.598,17.825,345.0,15.1197393,Machine_Failure,13402000.0,591835.7,630766.9,2890.0,329.9
30,2022-01-07,Makino-L3-Unit1-2015,Shopfloor-L3,6.8,48.0,36.9,0.783,22.476,409.0,23.033967,No_Machine_Failure,11976115.2,515348.1,638614.7,3000.0,295.4
31,2022-01-07,Makino-L2-Unit1-2015,Shopfloor-L2,4.5,47.1,35.1,1.043,38.814,431.0,34.97300419,No_Machine_Failure,7146602.0,316608.3,614660.5,2880.0,270.0
32,2022-01-07,Makino-L2-Unit1-2015,Shopfloor-L2,12.2,48.1,33.3,0.956,19.211,312.0,33.92336502,No_Machine_Failure,7046602.0,317819.3,690690.5,1870.0,253.6
33,2022-01-07,Makino-L2-Unit1-2015,Shopfloor-L2,8.7,42.8,39.4,1.467,25.397,367.0,30.51400825,No_Machine_Failure,13152697.1,316676.9,661723.5,1890.0,221.2
34,2022-01-07,Makino-L1-Unit1-2013,Shopfloor-L1,24.4,47.2,37.5,1.443,24.931,370.0,24.08323664,Machine_Failure,6173000.0,492561.0,661694.0,3490.0,460.2
35,2022-01-08,Makino-L2-Unit1-2015,Shopfloor-L2,30.3,46.8,32.6,1.321,22.186,349.0,24.12583384,Machine_Failure,9719000.0,484252.1,637984.9,3550.0,329.8
36,2022-01-08,Makino-L2-Unit1-2015,Shopfloor-L2,29.8,43.2,38.9,0.975,36.442,341.0,24.02989883,Machine_Failure,13593000.0,683941.3,637067.8,3610.0,443.4
37,2022-01-08,Makino-L1-Unit1-2013,Shopfloor-L1,8.7,51.1,34.7,1.023,25.852,395.0,22.94981252,No_Machine_Failure,11603049.2,312601.1,597939.7,2000.0,237.8
